# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:43
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
            Inf   6.306901e-01   0.000000e+00   8.884374e-02   0.000000e+00   3.185011e-01   0.000000e+00
   1.000000e+08   1.961100e+00  -4.625273e-03   4.693674e-01   6.009889e-03   9.676267e-01  -4.716656e-04
   8.804884e+07   1.960967e+00  -5.167093e-03   4.695304e-01   6.756567e-03   9.676163e-01  -5.309902e-04
   7.752597e+07   1.960803e+00  -5.782040e-03   4.697348e-01   7.600421e-03   9.676033e-01  -5.981294e-04
   6.826072e+07   1.960596e+00  -6.476418e-03   4.699924e-01   8.550444e-03   9.675869e-01  -6.738694e-04
   6.010277e+07   1.960336e+00  -7.256013e-03   4.703178e-01   9.615150e-03   9.675662e-01  -7.589930e-04
   5.291979e+07   1.960008e+00  -8.125538e-03   4.707287e-01   1.080189e-02   9.675401e-01  -8.542396e-04
   4.659526e+07   1.959595e+00  -9.087838e-03   4.712459e-01   1.211589e-02   9.675073e-01  -9.602476e-04
   4.102658e+07   1.959078e+00  -1.014283e-02   4.718940e-01   1.355892e-02   9.674662e-01  -1.077475e-03
   3.612343e+07   1.958435e+00  -1.128614e-02   4.727005e-01   1.512768e-02   9.674150e-01  -1.206097e-03
   3.180626e+07   1.957640e+00  -1.250757e-02   4.736952e-01   1.681180e-02   9.673520e-01  -1.345890e-03
   2.800504e+07   1.956670e+00  -1.378940e-02   4.749086e-01   1.859179e-02   9.672751e-01  -1.496103e-03
   2.465811e+07   1.955501e+00  -1.510496e-02   4.763684e-01   2.043726e-02   9.671826e-01  -1.655353e-03
   2.171118e+07   1.954117e+00  -1.641799e-02   4.780953e-01   2.230605e-02   9.670733e-01  -1.821577e-03
   1.911644e+07   1.952508e+00  -1.768320e-02   4.800981e-01   2.414497e-02   9.669466e-01  -1.992094e-03
   1.683180e+07   1.950681e+00  -1.884897e-02   4.823672e-01   2.589316e-02   9.668034e-01  -2.163823e-03
   1.482021e+07   1.948660e+00  -1.986227e-02   4.848708e-01   2.748822e-02   9.666456e-01  -2.333698e-03
   1.304902e+07   1.946487e+00  -2.067560e-02   4.875520e-01   2.887493e-02   9.664773e-01  -2.499232e-03
   1.148951e+07   1.944224e+00  -2.125474e-02   4.903316e-01   3.001500e-02   9.663036e-01  -2.659153e-03
   1.011638e+07   1.941942e+00  -2.158538e-02   4.931143e-01   3.089527e-02   9.661310e-01  -2.813945e-03
   8.907355e+06   1.939718e+00  -2.167668e-02   4.957996e-01   3.153207e-02   9.659662e-01  -2.966136e-03
   7.842822e+06   1.937623e+00  -2.156050e-02   4.982923e-01   3.197013e-02   9.658157e-01  -3.120232e-03
   6.905514e+06   1.935714e+00  -2.128662e-02   5.005124e-01   3.227627e-02   9.656854e-01  -3.282316e-03
   6.080224e+06   1.934033e+00  -2.091546e-02   5.024003e-01   3.252971e-02   9.655796e-01  -3.459431e-03
   5.353567e+06   1.932600e+00  -2.051016e-02   5.039172e-01   3.281159e-02   9.655015e-01  -3.658893e-03
   4.713753e+06   1.931424e+00  -2.013002e-02   5.050430e-01   3.319573e-02   9.654535e-01  -3.887689e-03
   4.150405e+06   1.930498e+00  -1.982600e-02   5.057711e-01   3.374189e-02   9.654370e-01  -4.152016e-03
   3.654383e+06   1.929809e+00  -1.963843e-02   5.061045e-01   3.449150e-02   9.654528e-01  -4.456988e-03
   3.217642e+06   1.929340e+00  -1.959653e-02   5.060529e-01   3.546565e-02   9.655015e-01  -4.806483e-03
   2.833096e+06   1.929072e+00  -1.971922e-02   5.056320e-01   3.666470e-02   9.655833e-01  -5.203119e-03
   2.494508e+06   1.928983e+00  -2.001663e-02   5.048658e-01   3.806940e-02   9.656972e-01  -5.648367e-03
   2.196385e+06   1.929053e+00  -2.049221e-02   5.037909e-01   3.964368e-02   9.658414e-01  -6.142861e-03
