# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:43
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
            Inf   5.474479e-01   0.000000e+00   1.102968e-01   0.000000e+00   3.034647e-01   0.000000e+00
   1.000000e+08   1.948037e+00  -4.701867e-03   5.281208e-01   3.479229e-03   9.665899e-01  -4.344089e-04
   8.804884e+07   1.947831e+00  -5.010029e-03   5.282221e-01   3.826863e-03   9.665788e-01  -4.791011e-04
   7.752597e+07   1.947635e+00  -5.366300e-03   5.283261e-01   4.223423e-03   9.665675e-01  -5.300721e-04
   6.826072e+07   1.947448e+00  -5.782650e-03   5.284362e-01   4.677306e-03   9.665557e-01  -5.883813e-04
   6.010277e+07   1.947261e+00  -6.270839e-03   5.285572e-01   5.197231e-03   9.665429e-01  -6.551412e-04
   5.291979e+07   1.947069e+00  -6.842364e-03   5.286953e-01   5.792226e-03   9.665285e-01  -7.315184e-04
   4.659526e+07   1.946860e+00  -7.508502e-03   5.288581e-01   6.471609e-03   9.665116e-01  -8.187365e-04
   4.102658e+07   1.946624e+00  -8.280354e-03   5.290550e-01   7.244943e-03   9.664912e-01  -9.180761e-04
   3.612343e+07   1.946349e+00  -9.168830e-03   5.292976e-01   8.121906e-03   9.664663e-01  -1.030867e-03
   3.180626e+07   1.946016e+00  -1.018448e-02   5.296000e-01   9.112018e-03   9.664353e-01  -1.158469e-03
   2.800504e+07   1.945609e+00  -1.133711e-02   5.299796e-01   1.022418e-02   9.663965e-01  -1.302227e-03
   2.465811e+07   1.945105e+00  -1.263512e-02   5.304572e-01   1.146594e-02   9.663478e-01  -1.463410e-03
   2.171118e+07   1.944476e+00  -1.408443e-02   5.310582e-01   1.284242e-02   9.662865e-01  -1.643106e-03
   1.911644e+07   1.943692e+00  -1.568705e-02   5.318122e-01   1.435485e-02   9.662096e-01  -1.842083e-03
   1.683180e+07   1.942717e+00  -1.743909e-02   5.327535e-01   1.599857e-02   9.661136e-01  -2.060602e-03
   1.482021e+07   1.941512e+00  -1.932835e-02   5.339203e-01   1.776073e-02   9.659947e-01  -2.298184e-03
   1.304902e+07   1.940034e+00  -2.133156e-02   5.353529e-01   1.961750e-02   9.658487e-01  -2.553349e-03
   1.148951e+07   1.938243e+00  -2.341174e-02   5.370908e-01   2.153154e-02   9.656715e-01  -2.823369e-03
   1.011638e+07   1.936103e+00  -2.551619e-02   5.391684e-01   2.344997e-02   9.654598e-01  -3.104084e-03
   8.907355e+06   1.933591e+00  -2.757624e-02   5.416085e-01   2.530411e-02   9.652110e-01  -3.389888e-03
   7.842822e+06   1.930703e+00  -2.950964e-02   5.444153e-01   2.701178e-02   9.649249e-01  -3.673992e-03
   6.905514e+06   1.927461e+00  -3.122678e-02   5.475677e-01   2.848325e-02   9.646034e-01  -3.949053e-03
   6.080224e+06   1.923918e+00  -3.264059e-02   5.510147e-01   2.963084e-02   9.642518e-01  -4.208180e-03
   5.353567e+06   1.920157e+00  -3.367916e-02   5.546753e-01   3.038103e-02   9.638782e-01  -4.446202e-03
   4.713753e+06   1.916289e+00  -3.429821e-02   5.584446e-01   3.068659e-02   9.634933e-01  -4.660940e-03
   4.150405e+06   1.912434e+00  -3.449029e-02   5.622055e-01   3.053535e-02   9.631089e-01  -4.854139e-03
   3.654383e+06   1.908713e+00  -3.428754e-02   5.658428e-01   2.995277e-02   9.627366e-01  -5.031790e-03
   3.217642e+06   1.905229e+00  -3.375738e-02   5.692584e-01   2.899768e-02   9.623863e-01  -5.203739e-03
   2.833096e+06   1.902058e+00  -3.299244e-02   5.723806e-01   2.775232e-02   9.620651e-01  -5.382749e-03
   2.494508e+06   1.899243e+00  -3.209797e-02   5.751697e-01   2.630993e-02   9.617768e-01  -5.583309e-03
   2.196385e+06   1.896799e+00  -3.118001e-02   5.776159e-01   2.476302e-02   9.615221e-01  -5.820522e-03
   1.933892e+06   1.894714e+00  -3.033658e-02   5.797352e-01   2.319453e-02   9.612991e-01  -6.109311e-03
   1.702769e+06   1.892958e+00  -2.965280e-02   5.815619e-01   2.167270e-02   9.611036e-01  -6.464004e-03
   1.499268e+06   1.891492e+00  -2.919960e-02   5.831426e-01   2.024919e-02   9.609303e-01  -6.898288e-03
   1.320088e+06   1.890269e+00  -2.903482e-02   5.845306e-01   1.895953e-02   9.607730e-01  -7.425403e-03
   1.162322e+06   1.889244e+00  -2.920586e-02   5.857827e-01   1.782468e-02   9.606245e-01  -8.058490e-03
   1.023411e+06   1.888370e+00  -2.975276e-02   5.869568e-01   1.685280e-02   9.604776e-01  -8.810987e-03
   9.011018e+05   1.887605e+00  -3.071136e-02   5.881118e-01   1.604057e-02   9.603241e-01  -9.697023e-03
   7.934097e+05   1.886907e+00  -3.211603e-02   5.893072e-01   1.537365e-02   9.601551e-01  -1.073176e-02
   6.985880e+05   1.886236e+00  -3.400196e-02   5.906039e-01   1.482605e-02   9.599605e-01  -1.193168e-02
   6.150986e+05   1.885552e+00  -3.640696e-02   5.920642e-01   1.435819e-02   9.597286e-01  -1.331477e-02
   5.415871e+05   1.884812e+00  -3.937280e-02   5.937514e-01   1.391384e-02   9.594455e-01  -1.490065e-02
   4.768612e+05   1.883971e+00  -4.294609e-02   5.957275e-01   1.341592e-02   9.590945e-01  -1.671056e-02
   4.198707e+05   1.882974e+00  -4.717858e-02   5.980487e-01   1.276167e-02   9.586554e-01  -1.876721e-02
   3.696913e+05   1.881758e+00  -5.212702e-02   6.007582e-01   1.181826e-02   9.581034e-01  -2.109452e-02
   3.255089e+05   1.880248e+00  -5.785214e-02   6.038744e-01   1.042005e-02   9.574088e-01  -2.371704e-02
   2.866068e+05   1.878349e+00  -6.441666e-02   6.073765e-01   8.370008e-03   9.565351e-01  -2.665931e-02
   2.523539e+05   1.875948e+00  -7.188193e-02   6.111872e-01   5.447512e-03   9.554389e-01  -2.994467e-02
   2.221947e+05   1.872904e+00  -8.030277e-02   6.151560e-01   1.424899e-03   9.540678e-01  -3.359381e-02
   1.956398e+05   1.869049e+00  -8.972002e-02   6.190484e-01  -3.906741e-03   9.523598e-01  -3.762262e-02
