# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:19:18
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
            Inf   6.306901e-01   0.000000e+00   8.884374e-02   0.000000e+00   3.185011e-01   0.000000e+00
   1.000000e+08   1.961101e+00  -4.625521e-03   4.693661e-01   6.010193e-03   9.676268e-01  -4.716848e-04
   8.804884e+07   1.960969e+00  -5.167430e-03   4.695287e-01   6.756988e-03   9.676164e-01  -5.310168e-04
   7.752597e+07   1.960804e+00  -5.782507e-03   4.697326e-01   7.601011e-03   9.676035e-01  -5.981665e-04
   6.826072e+07   1.960598e+00  -6.477071e-03   4.699896e-01   8.551276e-03   9.675871e-01  -6.739216e-04
   6.010277e+07   1.960338e+00  -7.256932e-03   4.703142e-01   9.616326e-03   9.675665e-01  -7.590667e-04
   5.291979e+07   1.960011e+00  -8.126833e-03   4.707242e-01   1.080356e-02   9.675405e-01  -8.543440e-04
   4.659526e+07   1.959599e+00  -9.089663e-03   4.712402e-01   1.211824e-02   9.675077e-01  -9.603951e-04
   4.102658e+07   1.959083e+00  -1.014539e-02   4.718869e-01   1.356225e-02   9.674667e-01  -1.077682e-03
   3.612343e+07   1.958440e+00  -1.128973e-02   4.726917e-01   1.513235e-02   9.674157e-01  -1.206388e-03
   3.180626e+07   1.957647e+00  -1.251256e-02   4.736846e-01   1.681828e-02   9.673527e-01  -1.346294e-03
   2.800504e+07   1.956678e+00  -1.379624e-02   4.748959e-01   1.860070e-02   9.672760e-01  -1.496658e-03
   2.465811e+07   1.955511e+00  -1.511423e-02   4.763535e-01   2.044936e-02   9.671837e-01  -1.656105e-03
   2.171118e+07   1.954127e+00  -1.643033e-02   4.780782e-01   2.232219e-02   9.670746e-01  -1.822578e-03
   1.911644e+07   1.952520e+00  -1.769932e-02   4.800790e-01   2.416609e-02   9.669481e-01  -1.993400e-03
   1.683180e+07   1.950693e+00  -1.886954e-02   4.823466e-01   2.592015e-02   9.668050e-01  -2.165487e-03
   1.482021e+07   1.948672e+00  -1.988783e-02   4.848493e-01   2.752184e-02   9.666475e-01  -2.335762e-03
   1.304902e+07   1.946498e+00  -2.070646e-02   4.875304e-01   2.891566e-02   9.664793e-01  -2.501718e-03
