# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:19:18
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
            Inf   5.474479e-01   0.000000e+00   1.102968e-01   0.000000e+00   3.034647e-01   0.000000e+00
   1.000000e+08   1.948038e+00  -4.702322e-03   5.281202e-01   3.479453e-03   9.665900e-01  -4.344335e-04
   8.804884e+07   1.947831e+00  -5.010528e-03   5.282213e-01   3.827124e-03   9.665789e-01  -4.791295e-04
   7.752597e+07   1.947636e+00  -5.366852e-03   5.283250e-01   4.223734e-03   9.665677e-01  -5.301055e-04
   6.826072e+07   1.947449e+00  -5.783272e-03   5.284348e-01   4.677685e-03   9.665559e-01  -5.884216e-04
   6.010277e+07   1.947263e+00  -6.271558e-03   5.285554e-01   5.197709e-03   9.665431e-01  -6.551912e-04
   5.291979e+07   1.947071e+00  -6.843223e-03   5.286929e-01   5.792844e-03   9.665287e-01  -7.315822e-04
   4.659526e+07   1.946863e+00  -7.509562e-03   5.288551e-01   6.472429e-03   9.665119e-01  -8.188202e-04
   4.102658e+07   1.946628e+00  -8.281704e-03   5.290512e-01   7.246054e-03   9.664917e-01  -9.181884e-04
   3.612343e+07   1.946353e+00  -9.170598e-03   5.292927e-01   8.123435e-03   9.664669e-01  -1.031021e-03
   3.180626e+07   1.946022e+00  -1.018685e-02   5.295937e-01   9.114149e-03   9.664361e-01  -1.158681e-03
   2.800504e+07   1.945617e+00  -1.134034e-02   5.299715e-01   1.022717e-02   9.663975e-01  -1.302524e-03
   2.465811e+07   1.945115e+00  -1.263956e-02   5.304470e-01   1.147016e-02   9.663489e-01  -1.463826e-03
   2.171118e+07   1.944488e+00  -1.409059e-02   5.310454e-01   1.284838e-02   9.662879e-01  -1.643692e-03
   1.911644e+07   1.943707e+00  -1.569562e-02   5.317963e-01   1.436324e-02   9.662114e-01  -1.842908e-03
   1.683180e+07   1.942736e+00  -1.745100e-02   5.327340e-01   1.601036e-02   9.661159e-01  -2.061758e-03
   1.482021e+07   1.941534e+00  -1.934482e-02   5.338966e-01   1.777718e-02   9.659974e-01  -2.299792e-03
   1.304902e+07   1.940061e+00  -2.135418e-02   5.353246e-01   1.964025e-02   9.658520e-01  -2.555569e-03
   1.148951e+07   1.938274e+00  -2.344247e-02   5.370578e-01   2.156262e-02   9.656754e-01  -2.826396e-03
   1.011638e+07   1.936138e+00  -2.555735e-02   5.391311e-01   2.349183e-02   9.654643e-01  -3.108150e-03
   8.907355e+06   1.933629e+00  -2.763037e-02   5.415677e-01   2.535948e-02   9.652162e-01  -3.395251e-03
   7.842822e+06   1.930742e+00  -2.957935e-02   5.443729e-01   2.708350e-02   9.649305e-01  -3.680914e-03
   6.905514e+06   1.927498e+00  -3.131436e-02   5.475264e-01   2.857395e-02   9.646093e-01  -3.957770e-03
   6.080224e+06   1.923950e+00  -3.274765e-02   5.509779e-01   2.974256e-02   9.642578e-01  -4.218859e-03
   5.353567e+06   1.920181e+00  -3.380615e-02   5.546474e-01   3.051482e-02   9.638842e-01  -4.458905e-03
   4.713753e+06   1.916299e+00  -3.444423e-02   5.584302e-01   3.084224e-02   9.634989e-01  -4.675592e-03
   4.150405e+06   1.912427e+00  -3.465294e-02   5.622086e-01   3.071129e-02   9.631141e-01  -4.870526e-03
   3.654383e+06   1.908687e+00  -3.446317e-02   5.658669e-01   3.014632e-02   9.627416e-01  -5.049578e-03
   3.217642e+06   1.905182e+00  -3.394153e-02   5.693054e-01   2.920546e-02   9.623914e-01  -5.222524e-03
   2.833096e+06   1.901991e+00  -3.318042e-02   5.724512e-01   2.797085e-02   9.620710e-01  -5.402114e-03
   2.494508e+06   1.899160e+00  -3.228538e-02   5.752630e-01   2.653618e-02   9.617846e-01  -5.602881e-03
   2.196385e+06   1.896704e+00  -3.136314e-02   5.777301e-01   2.499488e-02   9.615333e-01  -5.840022e-03
   1.933892e+06   1.894613e+00  -3.051266e-02   5.798675e-01   2.343112e-02   9.613155e-01  -6.128585e-03
   1.702769e+06   1.892860e+00  -2.982009e-02   5.817091e-01   2.191460e-02   9.611277e-01  -6.483053e-03
