# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
            Inf   6.306901e-01   0.000000e+00   8.884374e-02   0.000000e+00   3.185011e-01   0.000000e+00
   1.000000e+08   1.961101e+00  -4.625545e-03   4.693659e-01   6.010223e-03   9.676268e-01  -4.716867e-04
   8.804884e+07   1.960969e+00  -5.167464e-03   4.695285e-01   6.757030e-03   9.676165e-01  -5.310194e-04
   7.752597e+07   1.960804e+00  -5.782553e-03   4.697323e-01   7.601069e-03   9.676035e-01  -5.981702e-04
   6.826072e+07   1.960598e+00  -6.477136e-03   4.699893e-01   8.551358e-03   9.675871e-01  -6.739268e-04
   6.010277e+07   1.960339e+00  -7.257022e-03   4.703139e-01   9.616443e-03   9.675665e-01  -7.590740e-04
   5.291979e+07   1.960011e+00  -8.126961e-03   4.707237e-01   1.080372e-02   9.675405e-01  -8.543543e-04
   4.659526e+07   1.959600e+00  -9.089844e-03   4.712397e-01   1.211848e-02   9.675078e-01  -9.604096e-04
   4.102658e+07   1.959084e+00  -1.014565e-02   4.718862e-01   1.356258e-02   9.674668e-01  -1.077703e-03
   3.612343e+07   1.958441e+00  -1.129009e-02   4.726909e-01   1.513281e-02   9.674157e-01  -1.206417e-03
   3.180626e+07   1.957648e+00  -1.251305e-02   4.736836e-01   1.681892e-02   9.673528e-01  -1.346334e-03
   2.800504e+07   1.956679e+00  -1.379691e-02   4.748947e-01   1.860159e-02   9.672761e-01  -1.496713e-03
   2.465811e+07   1.955512e+00  -1.511515e-02   4.763520e-01   2.045056e-02   9.671838e-01  -1.656179e-03
   2.171118e+07   1.954129e+00  -1.643155e-02   4.780765e-01   2.232378e-02   9.670747e-01  -1.822677e-03
   1.911644e+07   1.952521e+00  -1.770092e-02   4.800771e-01   2.416817e-02   9.669483e-01  -1.993529e-03
   1.683180e+07   1.950694e+00  -1.887157e-02   4.823445e-01   2.592282e-02   9.668052e-01  -2.165652e-03
   1.482021e+07   1.948673e+00  -1.989036e-02   4.848471e-01   2.752517e-02   9.666477e-01  -2.335966e-03
   1.304902e+07   1.946499e+00  -2.070951e-02   4.875283e-01   2.891969e-02   9.664795e-01  -2.501964e-03
   1.148951e+07   1.944232e+00  -2.129445e-02   4.903088e-01   3.006760e-02   9.663060e-01  -2.662339e-03
   1.011638e+07   1.941947e+00  -2.163046e-02   4.930932e-01   3.095520e-02   9.661335e-01  -2.817537e-03
   8.907355e+06   1.939719e+00  -2.172628e-02   4.957806e-01   3.159826e-02   9.659689e-01  -2.970046e-03
   7.842822e+06   1.937619e+00  -2.161343e-02   4.982751e-01   3.204102e-02   9.658189e-01  -3.124333e-03
   6.905514e+06   1.935706e+00  -2.134152e-02   5.004961e-01   3.234993e-02   9.656891e-01  -3.286451e-03
   6.080224e+06   1.934021e+00  -2.097088e-02   5.023828e-01   3.260395e-02   9.655841e-01  -3.463415e-03
   5.353567e+06   1.932586e+00  -2.056470e-02   5.038960e-01   3.288407e-02   9.655074e-01  -3.662517e-03
   4.713753e+06   1.931409e+00  -2.018239e-02   5.050145e-01   3.326394e-02   9.654611e-01  -3.890714e-03
   4.150405e+06   1.930484e+00  -1.987499e-02   5.057315e-01   3.380310e-02   9.654469e-01  -4.154165e-03
   3.654383e+06   1.929798e+00  -1.968289e-02   5.060494e-01   3.454267e-02   9.654657e-01  -4.457935e-03
   3.217642e+06   1.929336e+00  -1.963535e-02   5.059777e-01   3.550338e-02   9.655183e-01  -4.805846e-03
   2.833096e+06   1.929076e+00  -1.975125e-02   5.055323e-01   3.668526e-02   9.656048e-01  -5.200462e-03
   2.494508e+06   1.929000e+00  -2.004073e-02   5.047378e-01   3.806904e-02   9.657246e-01  -5.643224e-03
   2.196385e+06   1.929085e+00  -2.050731e-02   5.036316e-01   3.961917e-02   9.658758e-01  -6.134781e-03
   1.933892e+06   1.929307e+00  -2.115063e-02   5.022693e-01   4.128912e-02   9.660549e-01  -6.675559e-03
   1.702769e+06   1.929641e+00  -2.196958e-02   5.007298e-01   4.302865e-02   9.662562e-01  -7.266597e-03
   1.499268e+06   1.930054e+00  -2.296569e-02   4.991174e-01   4.479263e-02   9.664715e-01  -7.910576e-03
   1.320088e+06   1.930514e+00  -2.414654e-02   4.975612e-01   4.654957e-02   9.666907e-01  -8.612889e-03
   1.162322e+06   1.930983e+00  -2.552835e-02   4.962096e-01   4.828742e-02   9.669020e-01  -9.382513e-03
   1.023411e+06   1.931426e+00  -2.713747e-02   4.952225e-01   5.001434e-02   9.670929e-01  -1.023246e-02
   9.011018e+05   1.931807e+00  -2.901038e-02   4.947631e-01   5.175311e-02   9.672511e-01  -1.117969e-02
   7.934097e+05   1.932096e+00  -3.119246e-02   4.949907e-01   5.352964e-02   9.673655e-01  -1.224459e-02
