# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
            Inf   5.474479e-01   0.000000e+00   1.102968e-01   0.000000e+00   3.034647e-01   0.000000e+00
   1.000000e+08   1.948038e+00  -4.702367e-03   5.281201e-01   3.479475e-03   9.665900e-01  -4.344359e-04
   8.804884e+07   1.947831e+00  -5.010577e-03   5.282212e-01   3.827149e-03   9.665789e-01  -4.791323e-04
   7.752597e+07   1.947636e+00  -5.366907e-03   5.283249e-01   4.223765e-03   9.665677e-01  -5.301088e-04
   6.826072e+07   1.947449e+00  -5.783333e-03   5.284346e-01   4.677723e-03   9.665559e-01  -5.884255e-04
   6.010277e+07   1.947263e+00  -6.271629e-03   5.285552e-01   5.197756e-03   9.665432e-01  -6.551961e-04
   5.291979e+07   1.947071e+00  -6.843308e-03   5.286927e-01   5.792905e-03   9.665288e-01  -7.315885e-04
   4.659526e+07   1.946863e+00  -7.509666e-03   5.288548e-01   6.472510e-03   9.665119e-01  -8.188285e-04
   4.102658e+07   1.946628e+00  -8.281837e-03   5.290508e-01   7.246164e-03   9.664917e-01  -9.181995e-04
   3.612343e+07   1.946354e+00  -9.170773e-03   5.292922e-01   8.123586e-03   9.664669e-01  -1.031036e-03
   3.180626e+07   1.946023e+00  -1.018708e-02   5.295931e-01   9.114359e-03   9.664361e-01  -1.158702e-03
   2.800504e+07   1.945618e+00  -1.134066e-02   5.299707e-01   1.022747e-02   9.663975e-01  -1.302553e-03
   2.465811e+07   1.945115e+00  -1.264000e-02   5.304460e-01   1.147057e-02   9.663490e-01  -1.463868e-03
   2.171118e+07   1.944490e+00  -1.409119e-02   5.310441e-01   1.284897e-02   9.662881e-01  -1.643750e-03
   1.911644e+07   1.943709e+00  -1.569646e-02   5.317947e-01   1.436407e-02   9.662116e-01  -1.842990e-03
   1.683180e+07   1.942738e+00  -1.745217e-02   5.327320e-01   1.601153e-02   9.661161e-01  -2.061872e-03
   1.482021e+07   1.941537e+00  -1.934645e-02   5.338942e-01   1.777880e-02   9.659977e-01  -2.299951e-03
   1.304902e+07   1.940063e+00  -2.135642e-02   5.353218e-01   1.964249e-02   9.658523e-01  -2.555788e-03
   1.148951e+07   1.938277e+00  -2.344550e-02   5.370546e-01   2.156569e-02   9.656758e-01  -2.826695e-03
   1.011638e+07   1.936141e+00  -2.556141e-02   5.391274e-01   2.349596e-02   9.654647e-01  -3.108552e-03
   8.907355e+06   1.933633e+00  -2.763572e-02   5.415637e-01   2.536495e-02   9.652167e-01  -3.395780e-03
   7.842822e+06   1.930746e+00  -2.958624e-02   5.443687e-01   2.709059e-02   9.649310e-01  -3.681598e-03
   6.905514e+06   1.927502e+00  -3.132303e-02   5.475222e-01   2.858292e-02   9.646099e-01  -3.958631e-03
   6.080224e+06   1.923953e+00  -3.275825e-02   5.509743e-01   2.975362e-02   9.642584e-01  -4.219915e-03
   5.353567e+06   1.920183e+00  -3.381874e-02   5.546446e-01   3.052807e-02   9.638847e-01  -4.460162e-03
   4.713753e+06   1.916300e+00  -3.445870e-02   5.584287e-01   3.085766e-02   9.634995e-01  -4.677042e-03
   4.150405e+06   1.912427e+00  -3.466907e-02   5.622088e-01   3.072873e-02   9.631147e-01  -4.872149e-03
   3.654383e+06   1.908684e+00  -3.448059e-02   5.658692e-01   3.016551e-02   9.627421e-01  -5.051340e-03
   3.217642e+06   1.905177e+00  -3.395981e-02   5.693099e-01   2.922608e-02   9.623919e-01  -5.224384e-03
   2.833096e+06   1.901985e+00  -3.319909e-02   5.724581e-01   2.799255e-02   9.620716e-01  -5.404029e-03
   2.494508e+06   1.899152e+00  -3.230399e-02   5.752722e-01   2.655865e-02   9.617854e-01  -5.604813e-03
   2.196385e+06   1.896695e+00  -3.138132e-02   5.777414e-01   2.501791e-02   9.615344e-01  -5.841940e-03
   1.933892e+06   1.894603e+00  -3.053012e-02   5.798805e-01   2.345462e-02   9.613171e-01  -6.130472e-03
   1.702769e+06   1.892850e+00  -2.983665e-02   5.817236e-01   2.193863e-02   9.611301e-01  -6.484903e-03
   1.499268e+06   1.891396e+00  -2.937294e-02   5.833170e-01   2.052338e-02   9.609686e-01  -6.919107e-03
   1.320088e+06   1.890198e+00  -2.919787e-02   5.847142e-01   1.924641e-02   9.608273e-01  -7.446540e-03
   1.162322e+06   1.889211e+00  -2.935979e-02   5.859724e-01   1.813097e-02   9.607003e-01  -8.080604e-03
   1.023411e+06   1.888394e+00  -2.989973e-02   5.871503e-01   1.718801e-02   9.605815e-01  -8.835074e-03
   9.011018e+05   1.887706e+00  -3.085459e-02   5.883082e-01   1.641773e-02   9.604646e-01  -9.724526e-03
   7.934097e+05   1.887112e+00  -3.226008e-02   5.895078e-01   1.581034e-02   9.603431e-01  -1.076475e-02
   6.985880e+05   1.886578e+00  -3.415314e-02   5.908137e-01   1.534571e-02   9.602098e-01  -1.197311e-02
   6.150986e+05   1.886073e+00  -3.657409e-02   5.922945e-01   1.499177e-02   9.600567e-01  -1.336885e-02
   5.415871e+05   1.885567e+00  -3.956832e-02   5.940233e-01   1.470151e-02   9.598747e-01  -1.497338e-02
   4.768612e+05   1.885026e+00  -4.318769e-02   5.960777e-01   1.440854e-02   9.596530e-01  -1.681048e-02
   4.198707e+05   1.884417e+00  -4.749175e-02   5.985376e-01   1.402131e-02   9.593786e-01  -1.890646e-02
   3.696913e+05   1.883700e+00  -5.254863e-02   6.014811e-01   1.341638e-02   9.590362e-01  -2.129024e-02
   3.255089e+05   1.882827e+00  -5.843575e-02   6.049759e-01   1.243164e-02   9.586071e-01  -2.399344e-02
   2.866068e+05   1.881741e+00  -6.524011e-02   6.090669e-01   1.086105e-02   9.580687e-01  -2.705036e-02
   2.523539e+05   1.880372e+00  -7.305820e-02   6.137591e-01   8.453209e-03   9.573937e-01  -3.049790e-02
   2.221947e+05   1.878630e+00  -8.199497e-02   6.189962e-01   4.916868e-03   9.565496e-01  -3.437546e-02
   1.956398e+05   1.876404e+00  -9.216197e-02   6.246399e-01  -6.415292e-05   9.554967e-01  -3.872473e-02
   1.722586e+05   1.873554e+00  -1.036738e-01   6.304518e-01  -6.805187e-03   9.541877e-01  -4.358923e-02
   1.516717e+05   1.869909e+00  -1.166429e-01   6.360866e-01  -1.558588e-02   9.525647e-01  -4.901338e-02
   1.335452e+05   1.865258e+00  -1.311713e-01   6.410985e-01  -2.661144e-02   9.505575e-01  -5.504076e-02
   1.175850e+05   1.859348e+00  -1.473402e-01   6.449646e-01  -3.997752e-02   9.480810e-01  -6.171104e-02
   1.035322e+05   1.851880e+00  -1.651951e-01   6.471185e-01  -5.564579e-02   9.450331e-01  -6.905526e-02
   9.115888e+04   1.842514e+00  -1.847278e-01   6.469897e-01  -7.343318e-02   9.412941e-01  -7.708911e-02
   8.026434e+04   1.830873e+00  -2.058548e-01   6.440403e-01  -9.301304e-02   9.367283e-01  -8.580470e-02
   7.067181e+04   1.816565e+00  -2.283944e-01   6.377979e-01  -1.139228e-01   9.311894e-01  -9.516147e-02
   6.222571e+04   1.799208e+00  -2.520461e-01   6.278846e-01  -1.355737e-01   9.245311e-01  -1.050779e-01
   5.478901e+04   1.778475e+00  -2.763789e-01   6.140505e-01  -1.572632e-01   9.166220e-01  -1.154266e-01
   4.824109e+04   1.754151e+00  -3.008370e-01   5.962114e-01  -1.781947e-01   9.073652e-01  -1.260360e-01
   4.247572e+04   1.726187e+00  -3.247723e-01   5.744921e-01  -1.975155e-01   8.967190e-01  -1.367013e-01
   3.739937e+04   1.694752e+00  -3.475078e-01   5.492617e-01  -2.143788e-01   8.847139e-01  -1.472076e-01
   3.292971e+04   1.660249e+00  -3.684297e-01   5.211448e-01  -2.280305e-01   8.714578e-01  -1.573619e-01
   2.899423e+04   1.623287e+00  -3.870903e-01   4.909933e-01  -2.379071e-01   8.571247e-01  -1.670297e-01
   2.552908e+04   1.584600e+00  -4.032961e-01   4.598095e-01  -2.437210e-01   8.419236e-01  -1.761645e-01
   2.247806e+04   1.544925e+00  -4.171499e-01   4.286317e-01  -2.455065e-01   8.260533e-01  -1.848212e-01
   1.979167e+04   1.504863e+00  -4.290293e-01   3.984069e-01  -2.436086e-01   8.096512e-01  -1.931443e-01
   1.742633e+04   1.464766e+00  -4.395008e-01   3.698832e-01  -2.386162e-01   7.927522e-01  -2.013320e-01
   1.534368e+04   1.424675e+00  -4.491892e-01   3.435461e-01  -2.312581e-01   7.752669e-01  -2.095832e-01
   1.350994e+04   1.384318e+00  -4.586334e-01   3.196071e-01  -2.222902e-01   7.569850e-01  -2.180378e-01
   1.189534e+04   1.343177e+00  -4.681554e-01   2.980386e-01  -2.123991e-01   7.376041e-01  -2.267221e-01
   1.047371e+04   1.300589e+00  -4.777661e-01   2.786368e-01  -2.021354e-01   7.167799e-01  -2.355079e-01
   9.221979e+03   1.255892e+00  -4.871194e-01   2.610961e-01  -1.918827e-01   6.941921e-01  -2.440928e-01
   8.119845e+03   1.208572e+00  -4.955225e-01   2.450803e-01  -1.818556e-01   6.696176e-01  -2.520071e-01
   7.149429e+03   1.158407e+00  -5.020087e-01   2.302819e-01  -1.721226e-01   6.430030e-01  -2.586514e-01
   6.294989e+03   1.105580e+00  -5.054690e-01   2.164644e-01  -1.626444e-01   6.145200e-01  -2.633674e-01
   5.542665e+03   1.050721e+00  -5.048292e-01   2.034848e-01  -1.533211e-01   5.845895e-01  -2.655329e-01
   4.880252e+03   9.948770e-01  -4.992422e-01   1.912948e-01  -1.440406e-01   5.538593e-01  -2.646663e-01
   4.297005e+03   9.393878e-01  -4.882505e-01   1.799232e-01  -1.347189e-01   5.231347e-01  -2.605145e-01
   3.783463e+03   8.856979e-01  -4.718759e-01   1.694447e-01  -1.253260e-01   4.932732e-01  -2.531011e-01
   3.331295e+03   8.351536e-01  -4.506129e-01   1.599450e-01  -1.158933e-01   4.650692e-01  -2.427203e-01
   2.933166e+03   7.888316e-01  -4.253328e-01   1.514900e-01  -1.065042e-01   4.391589e-01  -2.298814e-01
   2.582619e+03   7.474396e-01  -3.971328e-01   1.441068e-01  -9.727477e-02   4.159640e-01  -2.152217e-01
   2.273966e+03   7.112954e-01  -3.671739e-01   1.377769e-01  -8.833032e-02   3.956817e-01  -1.994147e-01
   2.002200e+03   6.803723e-01  -3.365460e-01   1.324413e-01  -7.978612e-02   3.783105e-01  -1.830930e-01
