------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
      0   -0.1321753475    0.0000000000    0.0000000000             nan             nan             nan
      1   -0.2861600452    0.1037598072    0.0000000000   -0.0564103078    1.6371276683    5.3592825738
      2   -0.9946951791    0.0466594349   -0.6135687294   -3.1325810834    1.7635328637    1.3383939283
      3   -1.0519843337    0.2104813664   -0.5888248083   -4.1579713419    1.8056679289   -0.0019022868
      4   -1.0539806381    0.2353719521   -0.5346326723   -4.6706664712    1.8267354614   -0.6720503944
      5   -1.0867317636    0.2314251119   -0.5231358838   -4.9782835488    1.8393759810   -1.0741392589
      6   -1.1442394315    0.2320927500   -0.5413463476   -5.1833616005    1.8478029940   -1.3421985020
      7   -1.2127980037    0.2399665724   -0.5735719462   -5.3298459231    1.8538222890   -1.5336693898
      8   -1.2843592161    0.2523920350   -0.6112715095   -5.4397091651    1.8583367603   -1.6772725557
      9   -1.3551823306    0.2672349191   -0.6505190506   -5.5251583533    1.8618480157   -1.7889639070
     10   -1.4237662841    0.2833811584   -0.6896479803   -5.5935177039    1.8646570201   -1.8783169880
     11   -1.4896156121    0.3003351181   -0.7279810262   -5.6494480816    1.8669552964   -1.9514240543
     12   -1.5526358881    0.3178741529   -0.7652405208   -5.6960567297    1.8688705266   -2.0123466095
     13   -1.6128708657    0.3358670060   -0.8012996720   -5.7354948166    1.8704911060   -2.0638964640
     14   -1.6704008426    0.3542003326   -0.8360869424   -5.7692988911    1.8718801741   -2.1080820535
     15   -1.7253094304    0.3727576562   -0.8695533017   -5.7985957556    1.8730840331   -2.1463762310
     16   -1.7776762672    0.3914188359   -0.9016629296   -5.8242305121    1.8741374097   -2.1798836364
     17   -1.8275780098    0.4100653677   -0.9323915093   -5.8468494148    1.8750668597   -2.2094489941
     18   -1.8750909669    0.4285858504   -0.9617262885   -5.8669551062    1.8758930374   -2.2357293120
     19   -1.9202932407    0.4468799236   -0.9896660526   -5.8849444089    1.8766322491   -2.2592432807
     20   -1.9632659054    0.4648604892   -1.0162205808   -5.9011347814    1.8772975396   -2.2804058526
     21   -2.0040934569    0.4824546643   -1.0414097367   -5.9157832137    1.8778994691   -2.2995529413
     22   -2.0428633957    0.4996034661   -1.0652620676   -5.9290999703    1.8784466778   -2.3169593857
     23   -2.0796657357    0.5162611690   -1.0878135005   -5.9412587481    1.8789463030   -2.3328522262
     24   -2.1145921141    0.5323940674   -1.1091058663   -5.9524042944    1.8794042929   -2.3474206633
     25   -2.1477348786    0.5479790991   -1.1291855235   -5.9626581970    1.8798256435   -2.3608236255
     26   -2.1791861872    0.5630024071   -1.1481020917   -5.9721233378    1.8802145826   -2.3731955905
     27   -2.2090371698    0.5774579215   -1.1659073183   -5.9808873571    1.8805747114   -2.3846511137
     28   -2.2373771983    0.5913460335   -1.1826541012   -5.9890253750    1.8809091166   -2.3952883853
     29   -2.2642932671    0.6046723802   -1.1983956585   -5.9966021503    1.8812204595   -2.4051920519
     30   -2.2898694964    0.6174467657   -1.2131848450   -6.0036738073    1.8815110461   -2.4144354741
     31   -2.3141867502    0.6296822179   -1.2270736014   -6.0102892283    1.8817828853   -2.4230825464
     32   -2.3373223644    0.6413941821   -1.2401125263   -6.0164911855    1.8820377344   -2.4311891768
     33   -2.3593499666    0.6525998386   -1.2523505497   -6.0223172665    1.8822771382   -2.4388044962
     34   -2.3803393794    0.6633175339   -1.2638346993   -6.0278006369    1.8825024594   -2.4459718556
     35   -2.4003565926    0.6735663160   -1.2746099409   -6.0329706718    1.8827149051   -2.4527296516
     36   -2.4194637935    0.6833655605   -1.2847190851   -6.0378534826    1.8829155483   -2.4591120146
     37   -2.4377194372    0.6927346680   -1.2942027409   -6.0424723576    1.8831053459   -2.4651493849
     38   -2.4551783572    0.7016928339   -1.3030993119   -6.0468481340    1.8832851541   -2.4708689989
     39   -2.4718918972    0.7102588675   -1.3114450247   -6.0509995115    1.8834557414   -2.4762952994
     40   -2.4879080644    0.7184510618   -1.3192739805   -6.0549433202    1.8836177994   -2.4814502848
     41   -2.5032716934    0.7262870979   -1.3266182267   -6.0586947480    1.8837719521   -2.4863538076
     42   -2.5180246132    0.7337839767   -1.3335078363   -6.0622675364    1.8839187641   -2.4910238292
     43   -2.5322058224    0.7409579824   -1.3399710000   -6.0656741485    1.8840587477   -2.4954766406
     44   -2.5458516623    0.7478246607   -1.3460341238   -6.0689259147    1.8841923685   -2.4997270514
     45   -2.5589959807    0.7543988085   -1.3517219224   -6.0720331579    1.8843200505   -2.5037885551
     46   -2.5716703016    0.7606944870   -1.3570575220   -6.0750053035    1.8844421811   -2.5076734716
     47   -2.5839039777    0.7667250278   -1.3620625533   -6.0778509749    1.8845591147   -2.5113930726
     48   -2.5957243403    0.7725030579   -1.3667572459   -6.0805780767    1.8846711760   -2.5149576902
     49   -2.6071568473    0.7780405268   -1.3711605223   -6.0831938682    1.8847786634   -2.5183768132
     50   -2.6182252075    0.7833487280   -1.3752900791   -6.0857050280    1.8848818513   -2.5216591713
     51   -2.6289515170    0.7884383386   -1.3791624741   -6.0881177109    1.8849809927   -2.5248128094
     52   -2.6393563690    0.7933194427   -1.3827932025   -6.0904375984    1.8850763209   -2.5278451538
     53   -2.6494589652    0.7980015648   -1.3861967673   -6.0926699429    1.8851680518   -2.5307630701
     54   -2.6592772219    0.8024937052   -1.3893867531   -6.0948196081    1.8852563853   -2.5335729154
     55   -2.6688278578    0.8068043633   -1.3923758845   -6.0968911035    1.8853415066   -2.5362805845
     56   -2.6781264906    0.8109415762   -1.3951760923   -6.0988886170    1.8854235879   -2.5388915512
     57   -2.6871877085    0.8149129375   -1.3977985617   -6.1008160423    1.8855027891   -2.5414109050
