# Elastic 'oceanless PREM' model
# Adapted from the PREM input file for LoadDef (https://github.com/hrmartens/LoadDef)
# DM, 25-Sep-2026
#
# Lyr  r_top (m) rho(kg/m3)    mu (Pa)   lam (Pa) eta (Pa*s) rheology  
# --- ---------- ---------- ---------- ---------- ---------- --------
  164 6.3710e+06 2.2834e+03 2.6624e+10 3.4216e+10 1.0000e+99 elastic   
  163 6.3560e+06 2.9000e+03 4.4109e+10 4.5878e+10 1.0000e+99 elastic   
  162 6.3466e+06 3.3808e+03 6.8187e+10 8.6019e+10 1.0000e+99 elastic   
  161 6.3460e+06 3.3807e+03 6.8179e+10 8.6010e+10 1.0000e+99 elastic   
  160 6.3450e+06 3.3806e+03 6.8165e+10 8.5996e+10 1.0000e+99 elastic   
  159 6.3440e+06 3.3805e+03 6.8152e+10 8.5982e+10 1.0000e+99 elastic   
  158 6.3430e+06 3.3804e+03 6.8139e+10 8.5968e+10 1.0000e+99 elastic   
  157 6.3420e+06 3.3802e+03 6.8125e+10 8.5953e+10 1.0000e+99 elastic   
  156 6.3410e+06 3.3801e+03 6.8112e+10 8.5940e+10 1.0000e+99 elastic   
  155 6.3400e+06 3.3800e+03 6.8098e+10 8.5925e+10 1.0000e+99 elastic   
  154 6.3390e+06 3.3799e+03 6.8085e+10 8.5910e+10 1.0000e+99 elastic   
  153 6.3380e+06 3.3798e+03 6.8072e+10 8.5896e+10 1.0000e+99 elastic   
  152 6.3370e+06 3.3797e+03 6.8058e+10 8.5882e+10 1.0000e+99 elastic   
  151 6.3360e+06 3.3796e+03 6.8045e+10 8.5868e+10 1.0000e+99 elastic   
  150 6.3310e+06 3.3790e+03 6.7978e+10 8.5796e+10 1.0000e+99 elastic   
  149 6.3260e+06 3.3785e+03 6.7911e+10 8.5725e+10 1.0000e+99 elastic   
  148 6.3210e+06 3.3780e+03 6.7845e+10 8.5654e+10 1.0000e+99 elastic   
  147 6.3110e+06 3.3769e+03 6.7712e+10 8.5511e+10 1.0000e+99 elastic   
  146 6.3010e+06 3.3758e+03 6.7578e+10 8.5369e+10 1.0000e+99 elastic   
  145 6.2910e+06 3.3747e+03 6.7445e+10 8.5227e+10 1.0000e+99 elastic   
  144 6.2810e+06 3.3736e+03 6.7312e+10 8.5086e+10 1.0000e+99 elastic   
  143 6.2710e+06 3.3725e+03 6.7180e+10 8.4944e+10 1.0000e+99 elastic   
  142 6.2610e+06 3.3714e+03 6.7047e+10 8.4802e+10 1.0000e+99 elastic   
  141 6.2510e+06 3.3704e+03 6.6915e+10 8.4661e+10 1.0000e+99 elastic   
  140 6.2410e+06 3.3693e+03 6.6783e+10 8.4519e+10 1.0000e+99 elastic   
  139 6.2310e+06 3.3682e+03 6.6650e+10 8.4378e+10 1.0000e+99 elastic   
  138 6.2210e+06 3.3671e+03 6.6519e+10 8.4237e+10 1.0000e+99 elastic   
  137 6.2110e+06 3.3660e+03 6.6387e+10 8.4096e+10 1.0000e+99 elastic   
  136 6.2010e+06 3.3649e+03 6.6255e+10 8.3956e+10 1.0000e+99 elastic   
  135 6.1910e+06 3.3638e+03 6.6124e+10 8.3815e+10 1.0000e+99 elastic   
  134 6.1810e+06 3.3628e+03 6.5993e+10 8.3675e+10 1.0000e+99 elastic   
  133 6.1710e+06 3.3617e+03 6.5862e+10 8.3534e+10 1.0000e+99 elastic   
  132 6.1610e+06 3.3606e+03 6.5731e+10 8.3394e+10 1.0000e+99 elastic   
  131 6.1510e+06 3.4358e+03 6.7090e+10 8.5144e+10 1.0000e+99 elastic   
  130 6.1410e+06 3.4418e+03 7.4448e+10 1.0437e+11 1.0000e+99 elastic   
  129 6.1310e+06 3.4477e+03 7.4802e+10 1.0524e+11 1.0000e+99 elastic   
  128 6.1210e+06 3.4537e+03 7.5157e+10 1.0611e+11 1.0000e+99 elastic   
  127 6.1110e+06 3.4597e+03 7.5513e+10 1.0699e+11 1.0000e+99 elastic   
  126 6.1010e+06 3.4656e+03 7.5870e+10 1.0788e+11 1.0000e+99 elastic   
  125 6.0910e+06 3.4716e+03 7.6228e+10 1.0876e+11 1.0000e+99 elastic   
  124 6.0810e+06 3.4776e+03 7.6588e+10 1.0966e+11 1.0000e+99 elastic   
  123 6.0710e+06 3.4836e+03 7.6948e+10 1.1055e+11 1.0000e+99 elastic   
  122 6.0610e+06 3.4895e+03 7.7310e+10 1.1145e+11 1.0000e+99 elastic   
  121 6.0510e+06 3.4955e+03 7.7673e+10 1.1236e+11 1.0000e+99 elastic   
  120 6.0410e+06 3.5015e+03 7.8037e+10 1.1327e+11 1.0000e+99 elastic   
  119 6.0310e+06 3.5074e+03 7.8402e+10 1.1418e+11 1.0000e+99 elastic   
  118 6.0210e+06 3.5134e+03 7.8768e+10 1.1510e+11 1.0000e+99 elastic   
  117 6.0110e+06 3.5194e+03 7.9135e+10 1.1603e+11 1.0000e+99 elastic   
  116 6.0010e+06 3.5253e+03 7.9504e+10 1.1695e+11 1.0000e+99 elastic   
